,MANDAL,VILLAGE,S.NO,SURVEY NO.,EXTENT (UNIT),NOTIFICATION NUMBER,NOTIFICATION DATE,OTHER REFERENCE
0,THAVANAMPALLE,ARAGONDA,1.0,'1/1,1.0(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
1,THAVANAMPALLE,ARAGONDA,2.0,'1/10,0.94(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
2,THAVANAMPALLE,ARAGONDA,3.0,'1/11,1.36(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
3,THAVANAMPALLE,ARAGONDA,4.0,'1/12,0.3(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
4,THAVANAMPALLE,ARAGONDA,5.0,'1/13,1.51(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
5,THAVANAMPALLE,ARAGONDA,6.0,'1/14,0.76(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
6,THAVANAMPALLE,ARAGONDA,7.0,'1/15,1.0(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
7,THAVANAMPALLE,ARAGONDA,8.0,'1/16/1,2.42(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
8,THAVANAMPALLE,ARAGONDA,9.0,'1/16/2,1.0(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
9,THAVANAMPALLE,ARAGONDA,10.0,'1/17,4.69(A),MEMO.NO.G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
10,THAVANAMPALLE,ARAGONDA,11.0,'1/18,0.5(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
11,THAVANAMPALLE,ARAGONDA,12.0,'1/19,0.69(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
12,THAVANAMPALLE,ARAGONDA,13.0,'1/2,0.74(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
13,THAVANAMPALLE,ARAGONDA,14.0,'1/20,0.42(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
14,THAVANAMPALLE,ARAGONDA,15.0,'1/21,0.5(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
15,THAVANAMPALLE,ARAGONDA,16.0,'1/22A,0.34(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
16,THAVANAMPALLE,ARAGONDA,17.0,'1/22B,0.35(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
17,THAVANAMPALLE,ARAGONDA,18.0,'1/23,0.37(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
18,THAVANAMPALLE,ARAGONDA,19.0,'1/24,0.1(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
19,THAVANAMPALLE,ARAGONDA,20.0,'1/25,0.12(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
20,THAVANAMPALLE,ARAGONDA,21.0,'1/26,0.79(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
21,THAVANAMPALLE,ARAGONDA,22.0,'1/27,1.43(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
22,THAVANAMPALLE,ARAGONDA,23.0,'1/28,1.26(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
23,THAVANAMPALLE,ARAGONDA,24.0,'1/29,0.1(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
24,THAVANAMPALLE,ARAGONDA,25.0,'1/30,0.37(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
25,THAVANAMPALLE,ARAGONDA,26.0,'1/31,0.2(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
26,THAVANAMPALLE,ARAGONDA,27.0,'1/32,2.24(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
27,THAVANAMPALLE,ARAGONDA,28.0,'1/32A,0.67(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
28,THAVANAMPALLE,ARAGONDA,29.0,'1/33,2.45(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
29,THAVANAMPALLE,ARAGONDA,30.0,'1/3A,0.78(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
30,THAVANAMPALLE,ARAGONDA,31.0,'1/3B,0.78(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
31,THAVANAMPALLE,ARAGONDA,32.0,'1/4,1.9(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
32,THAVANAMPALLE,ARAGONDA,33.0,'1/5,6.55(A),MEMO.NO.G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
33,THAVANAMPALLE,ARAGONDA,34.0,'1/6,2.29(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
34,THAVANAMPALLE,ARAGONDA,35.0,'1/7,0.44(A),MEMO.NO.G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
35,THAVANAMPALLE,ARAGONDA,36.0,'1/8,0.89(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
36,THAVANAMPALLE,ARAGONDA,37.0,'1/9,2.28(A),G1/869/2015,2016-07-18 '00:00:00,DISTRICT REGISTRAR
