,status,totalResults,source,author,title,description,url,urlToImage,publishedAt,content
0,ok,38,"{'id': None, 'name': 'Nytimes.com'}",,Spain to Ease Work Rules; China Delays Crucial Exports: Coronavirus Live Coverage - The New York Times,Parts of Turkey entered a sudden lockdown. A British minister triggered a fierce backlash by warning health workers not to “overuse” protective gear. And people over 100 have survived the virus.,https://www.nytimes.com/2020/04/11/world/coronavirus-news.html,https://www.nytimes.com/newsgraphics/2020/04/09/corona-virus-social-images-by-section/assets/World_promo.jpg?u=1586609902192,2020-04-11T12:27:19Z,"His decision to go back to work as a physician was motivated by a desire to help ease the burden on health care workers, his spokesman said. He also issued a plea for emigrant Irish doctors and nurses, and others who had left the field, to return to help with… [+1265 chars]"
1,ok,38,"{'id': 'engadget', 'name': 'Engadget'}",,Ask Engadget: What's your must-have tech for working from home? - Engadget,We want to know what gadgets make your home office work well.,https://www.engadget.com/essential-wfh-gear-120041427.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=80&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-images%2F2020-04%2F47fa27e0-7b53-11ea-b7a7-4a294b48c891&client=amp-blogside-v2&signature=1fe5dedb46eac00205c938a6927846f86de85e5c,2020-04-11T12:09:16Z,"This week we’re asking you for answers. COVID-19 has altered the workplace in a variety of ways, with a lot of people now working from home, possibly for the first time. We’ve already shared our recommendations for must-have home-office tech — now we want to … [+274 chars]"
2,ok,38,"{'id': 'fox-news', 'name': 'Fox News'}",Matt London,"50th anniversary of Apollo 13 mission: 'Houston, we've had a problem' - Fox News","With exclusive interviews and rarely seen NASA footage, Fox News and Fox Business anchor Neil Cavuto re-examined the story of six dramatic days that gripped the world, as American courage and ingenuity transformed near-certain tragedy into one of the space pr…",https://www.foxnews.com/media/50th-anniversary-apollo-13-mission-houston-fox-nation,https://static.foxnews.com/foxnews.com/content/uploads/2020/04/NASAApollo13IwoJima.jpg,2020-04-11T11:49:22Z,"Fifty years ago, a catastrophic explosion aboard the Apollo 13spaceship threatened to maroon three American astronauts in space.
With exclusive interviews and rarely seen NASA footage, Fox News and Fox Business anchor Neil Cavuto re-examined the six dramatic… [+3010 chars]"
3,ok,38,"{'id': None, 'name': 'Npr.org'}",Greg Allen,"Despite Trump Criticism, Republicans Also Rely On Vote By Mail - NPR","""Absentee ballots are typically Republicans' friends"" in Florida says one former GOP campaign operative. Despite condemning mail-in ballots, President Trump cast one himself last month.",https://www.npr.org/2020/04/11/831978099/even-as-trump-denounces-vote-by-mail-gop-in-florida-and-elsewhere-relies-on-it,https://media.npr.org/assets/img/2020/04/10/ap_20077618751886_wide-290971d2755b4e15d58e95b085f0e8e196fe4f06.jpg?s=1400,2020-04-11T11:02:41Z,"A voter in Delray Beach, Fla. during last month's primary election. More voters are expected to request mail-in ballots for the August primary and November general election.
Lynne Sladky/AP
With an election year pandemic, mail-in ballots may become an incre… [+4723 chars]"
4,ok,38,"{'id': None, 'name': 'Livescience.com'}",Brandon Specktor,Ozone hole three times the size of Greenland opens over the North Pole - Livescience.com,"Ozone holes open over the South Pole every year. Holes at the North Pole are much, much rarer.",https://www.livescience.com/largest-ozone-hole-arctic-north-pole.html,https://cdn.mos.cms.futurecdn.net/TJFKtVvLzWvhfk3rNaRU4K-1200-80.jpg,2020-04-11T11:00:00Z,"Scientists have detected what may be the largest hole in theozone layer
 ever recorded over the North Pole.
The ozone hole covers an area roughly three times the size of Greenland
, scientists from the European Space Agency (ESA) said in a statement
, and… [+2725 chars]"
5,ok,38,"{'id': 'the-verge', 'name': 'The Verge'}",Casey Newton,How Apple and Google are tackling one of the toughest parts about tracking COVID-19 exposures - The Verge,"Adoption is the hard part of contact tracing apps so far — but if it’s baked into the operating system, it gets a lot easier. Apple and Google’s API solution could help fight the coronavirus",https://www.theverge.com/interface/2020/4/11/21216652/apple-google-contact-tracing-covid-19-coronavirus-api-public-health-app-challenges,https://cdn.vox-cdn.com/thumbor/Fl0SvIdnQJAjiKuLMXcxfnXa6ss=/0x71:1020x605/fit-in/1200x630/cdn.vox-cdn.com/assets/937650/iphone-android-google-apple_1020.jpg,2020-04-11T10:15:56Z,"Adoption is the hard part of contact tracing apps so far  but if its baked into the operating system, it gets a lot easier
This story is part of a group of stories called 
The Interface is a daily column and newsletter about the intersection of social media… [+9409 chars]"
6,ok,38,"{'id': 'cnn', 'name': 'CNN'}","Harmeet Kaur, CNN","Storm safety should take priority over coronavirus concerns, state officials and weather experts warn - CNN","As communities around the country take precautions against the coronavirus pandemic, some places are dealing with an additional safety threat: severe weather outbreaks.",https://www.cnn.com/2020/04/11/weather/storm-safety-coronavirus-pandemic-trnd/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200410083215-weather-severe-storms-easter-sunday-card-20200610-super-tease.jpg,2020-04-11T10:03:54Z,"(CNN)As communities around the country take precautions against the coronavirus pandemic, some places are dealing with an additional safety threat: severe weather outbreaks.
April, May and June are peak tornado months for much of the United States -- particu… [+4522 chars]"
7,ok,38,"{'id': 'usa-today', 'name': 'USA Today'}",Joel Shannon,"Coronavirus live updates: Authorities fight against Easter gatherings, White House task force to focus on 'opening' country - USA TODAY","In an effort to keep coronavirus from spreading further, some local authorities are taking extra measures to prevent large Easter celebrations.",https://www.usatoday.com/story/news/health/2020/04/11/coronavirus-white-house-cases-deaths-easter-preparations/5132802002/,"https://www.gannett-cdn.com/presto/2020/04/11/USAT/87fd4db0-ec02-4c81-a105-2663581d87e3-AP_Virus_Outbreak_Texas_Daily_Life.JPG?crop=4767,2681,x1,y159&width=3200&height=1680&fit=bounds",2020-04-11T09:51:04Z,"There is a lot of misinformation out there about coronavirus. We sort the facts from falsehoods.
Wochit
A week after President Donald Trump warned of a ""very deadly period"" ahead for America, U.S. coronavirus deaths topped 18,777 Saturday morning, as expert… [+6398 chars]"
8,ok,38,"{'id': 'independent', 'name': 'Independent'}",Jacob Stolworthy,Tiger King: Carole Baskin says she’s receiving death threats because of Netflix show - The Independent,She accused hit Netflix show of ‘betrayal’ in first interview since it began,https://www.independent.co.uk/arts-entertainment/tv/news/carole-baskin-says-she-s-receiving-death-threats-because-of-tiger-king-a9460406.html,https://static.independent.co.uk/s3fs-public/thumbnails/image/2020/04/01/10/carole-baskin-tiger-king.jpg,2020-04-11T09:03:39Z,"Carole Baskin and her husband have accused Tiger Kingproducers of betrayal in their first interview since Netflix released the show.
The animal rights activist, whose rivalry with controversial figure Joe Exotic comprises a large chunk of the docuseries, has… [+28687 chars]"
9,ok,38,"{'id': 'fox-news', 'name': 'Fox News'}",Stephanie Nolasco,Harvey Weinstein’s ex-assistant explains in doc why it took her over 20 years to reveal alleged attempted rape - Fox News,It took more than 20 years for Rowena Chiu to reveal Harvey Weinstein's alleged attempted rape.,https://www.foxnews.com/entertainment/harvey-weinstein-assistant-rowena-chiu-documentary,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/933fda6f-18f2-42ac-95b1-bb12ea58caba/7b1885b3-f26a-4ab2-bdf3-e7ba841a72c5/1280x720/match/image.jpg,2020-04-11T09:00:51Z,"It took more than 20 years for Rowena Chiu to reveal Harvey Weinstein's alleged attempted rape.
The movie mogul’s former assistant is one of several accusers speaking out in a new documentary on Investigation Discovery (ID) titled “Harvey Weinstein: ID Break… [+10464 chars]"
10,ok,38,"{'id': 'fox-news', 'name': 'Fox News'}",Dom Calicchio,"China's telecom 'trustworthiness' under question, FCC commissioner tells Shannon Bream - Fox News","China's trustworthiness, as it applies to international telecommunications involving the U.S., is under question, a commissioner with the Federal Communications Commission said Friday night.",https://www.foxnews.com/media/chinas-telecom-trustworthiness-under-question-fcc-commissioner-tells-shannon-bream,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/5426c6c7-83cf-4daf-b3f5-b899071be2bc/36ed0a0a-a7c4-4f91-bff3-bd1d64df4db5/1280x720/match/image.jpg,2020-04-11T08:32:38Z,"China's trustworthiness, as it applies to international telecommunications involving the U.S., is under question, a commissioner with the Federal Communications Commission said Friday night.
Brendan Carr, who previously served as the FCC's general counsel, s… [+3032 chars]"
